index, deltams,rolling average
0,92000,20331709.94
1,339000,20387775.62
2,3056000,20443466.67
3,27000,20491899.72
4,166000,20549064.25
5,70000,20606159.66
6,855000,20663845.51
7,27000,20719645.07
8,151000,20778098.87
9,97581000,20836532.58
10,55810000,20618508.52
11,47000,20518247.86
12,117000,20576737.14
13,823000,20635361.03
14,1064000,20692293.1
15,2323000,20748858.79
16,1796000,20802112.72
17,435000,20857202.9
18,974000,20916569.77
19,6666000,20974711.37
20,346000,21016549.71
21,191000,21077167.16
22,292000,21138597.06
23,112000,21200091.45
24,1622000,21262482.25
25,2372000,21320762.61
26,1696000,21377157.74
27,221000,21435907.46
28,541000,21499425.15
29,237000,21562363.36
30,3217000,21626596.39
31,4227000,21682214.5
32,12323000,21735109.09
33,3613000,21763717.33
34,228642000,21819054.88
35,932000,21186568.81
36,2706000,21248699.39
37,170000,21305753.85
38,1853000,21370987.65
39,869000,21431414.86
40,15428000,21495273.29
41,81960000,21514174.45
42,107000,21325281.25
43,1178000,21391796.24
44,75274000,21455361.64
45,247000,21285586.75
46,165000,21352164.56
47,6304000,21419425.4
48,87000,21467563.69
49,15000,21535872.2
50,3000,21604849.36
51,830000,21674308.68
52,14317000,21741548.39
53,406630000,21765576.05
54,13000,20516016.23
55,273000,20582801.3
56,16000,20649173.2
57,197000,20716822.95
58,33000,20784322.37
59,717000,20852808.58
60,386000,20919483.44
61,48000,20987701
62,54000,21057500
63,20000,21127745.82
64,509000,21198577.18
65,32000,21268239.06
66,56000,21339983.11
67,1175000,21412132.2
68,511000,21480965.99
69,4437000,21552535.84
70,3283000,21611150.68
71,510000,21674134.02
72,11237000,21747113.79
73,481000,21783480.97
74,749000,21857447.92
75,61787000,21930996.52
76,40000,21791639.86
77,211000,21867961.4
78,337000,21944218.31
79,16000,22020568.9
80,919000,22098599.29
81,609000,22173971.53
82,533518000,22250989.29
83,453000,20418491.04
84,931000,20490309.35
85,640000,20560920.58
86,415000,20633097.83
87,883000,20706618.18
88,332000,20778967.15
89,430000,20853864.47
90,589114000,20928952.21
91,288000,18832328.41
92,2261000,18901011.11
93,253000,18962869.89
94,54000,19032682.84
95,891000,19103764.04
96,362000,19172233.08
97,80157000,19243215.09
98,72000,19012481.06
99,408000,19084498.1
100,156000,19155782.44
101,160000,19228578.54
102,1308631000,19301919.23
103,31000,14323814.67
104,65000,14379213.18
105,846000,14434910.51
106,45000,14487992.19
107,90000,14544631.37
108,54000,14601539.37
109,2496000,14659039.53
110,232000,14707305.56
111,1011000,14764976.1
112,508981000,14819992
113,89000,12835409.64
114,5000,12886806.45
115,94000,12938959.51
116,358000,12991174.8
117,373000,13042738.78
118,74000,13094663.93
119,74166000,13148246.91
120,413000,12896107.44
121,18000,12947904.56
122,1286884000,13001779.17
123,402000,7671728.033
124,463000,7702273.109
125,295000,7732818.565
126,131000,7764334.746
127,53000,7796817.021
128,7000,7829910.256
129,7858000,7863484.979
130,525028000,7863508.621
131,36000,5624701.299
132,15004000,5649000
133,45000,5608148.472
134,37942000,5632548.246
135,10000,5490215.859
136,1832000,5514464.602
137,779000,5530831.111
138,22161000,5552044.643
139,99000,5477565.022
140,100000,5501792.793
141,92000,5526235.294
142,106000,5550936.364
143,51000,5575799.087
144,65000,5601142.202
145,392000,5626654.378
146,20000,5650888.889
147,40000,5677079.07
148,886000,5703420.561
149,8600000,5726037.559
150,6272000,5712481.132
151,3513000,5709829.384
152,2052000,5720290.476
153,1026000,5737842.105
154,399000,5760495.192
155,55363000,5786396.135
156,11000,5545733.01
157,29000,5572731.707
158,72000,5599906.863
159,29000,5627137.931
160,90000,5654851.485
161,13000,5682537.313
162,51000,5710885
163,54000,5739326.633
164,45000,5768040.404
165,191000,5797091.371
166,217000,5825693.878
167,26000,5854456.41
168,19000,5884500
169,10000,5914891.192
170,32000,5945645.833
171,122000,5976607.33
172,13000,6007421.053
173,46000,6039137.566
174,15000,6071015.957
175,16000,6103401.07
176,37000,6136129.032
177,26000,6169097.297
178,180000,6202483.696
179,291000,6235393.443
180,2742000,6268054.945
181,3087000,6287535.912
182,4324000,6305316.667
183,440806000,6316385.475
184,156006000,3875432.584
185,91000,3015937.853
186,113000,3032556.818
187,24000,3049240
188,943000,3066626.437
189,271000,3078901.734
190,17000,3095226.744
191,89000,3113228.07
192,48000,3131017.647
193,337000,3149260.355
194,582000,3166000
195,42000,3181473.054
196,258126000,3200385.542
197,21000,1655381.818
198,117000,1665347.561
199,13000,1674846.626
200,29000,1685104.938
201,508000,1695391.304
202,38000,1702812.5
203,52000,1713283.019
204,98000,1723797.468
205,21000,1734152.866
206,48000,1745134.615
207,28000,1756083.871
208,34000,1767305.195
209,69000,1778633.987
210,170000,1789881.579
211,547000,1800609.272
212,255000,1808966.667
213,178000,1819395.973
214,1260000,1830486.486
215,101000,1834367.347
216,3956000,1846239.726
217,181000,1831689.655
218,195000,1843152.778
219,39000,1854678.322
220,130000,1867464.789
221,253000,1879787.234
222,1646000,1891407.143
223,109000,1893172.662
224,188000,1906101.449
225,1157000,1918642.336
226,16000,1924242.647
227,245000,1938377.778
228,85000,1951014.925
229,9598000,1965045.113
230,56000,1907219.697
231,57000,1921351.145
232,159000,1935692.308
233,26000,1949465.116
234,142000,1964492.188
235,3000,1978842.52
236,64000,1994523.81
237,58000,2009968
238,376000,2025709.677
239,42000,2039121.951
240,19000,2055491.803
241,14000,2072322.314
242,76000,2089475
243,31000,2106394.958
244,96000,2123983.051
245,124000,2141316.239
246,16000,2158706.897
247,54000,2177339.13
248,41000,2195964.912
249,84000,2215035.398
250,606000,2234062.5
251,310000,2248729.73
252,99000,2266354.545
253,114000,2286238.532
254,58154000,2306351.852
255,44000,1784411.215
256,71000,1800830.189
257,2411000,1817304.762
258,1972000,1811596.154
259,95000,1810038.835
260,82000,1826852.941
261,2998000,1844128.713
262,19696000,1832590
263,15000,1652151.515
264,34000,1668857.143
265,147000,1685711.34
266,102000,1701739.583
267,533000,1718578.947
268,35000,1731191.489
269,59000,1749430.108
270,286000,1767804.348
271,1172000,1784087.912
272,502000,1790888.889
273,418000,1805370.787
274,1736000,1821136.364
275,614000,1822114.943
276,56941000,1836162.791
277,74000,1187870.588
278,70000,1201130.952
279,2434000,1214759.036
280,1237000,1199890.244
281,837000,1199432.099
282,36000,1203962.5
283,868000,1218746.835
284,1175000,1223243.59
285,74677000,1223870.13
286,106000,257381.5789
287,13000,259400
288,57000,262729.7297
289,19000,265547.9452
290,45000,268972.2222
291,147000,272126.7606
292,56000,273914.2857
293,242000,277072.4638
294,214000,277588.2353
295,17000,278537.3134
296,28000,282500
297,97000,286415.3846
298,130000,289375
299,97000,291904.7619
300,1127000,295048.3871
301,123000,281409.8361
302,185000,284050
303,84000,285728.8136
304,226000,289206.8966
305,54000,290315.7895
306,300000,294535.7143
307,24000,294436.3636
308,41000,299444.4444
309,44000,304320.7547
310,51000,309326.9231
311,110000,314392.1569
312,6000,318480
313,58000,324857.1429
314,51000,330416.6667
315,33000,336361.7021
316,34000,342956.5217
317,33000,349822.2222
318,220000,357022.7273
319,113000,360209.3023
320,115000,366095.2381
321,30000,372219.5122
322,590000,380775
323,143000,375410.2564
324,106000,381526.3158
325,101000,388972.973
326,23000,396972.2222
327,33000,407657.1429
328,191000,418676.4706
329,60000,425575.7576
330,22000,437000
331,9000,450387.0968
332,32000,465100
333,27000,480034.4828
334,149000,496214.2857
335,6000,509074.0741
336,68000,528423.0769
337,55000,546840
338,40000,567333.3333
339,73000,590260.8696
340,1307000,613772.7273
341,66000,580761.9048
342,1854000,606500
343,42000,540842.1053
344,156000,568555.5556
345,69000,592823.5294
346,67000,625562.5
347,105000,662800
348,280000,702642.8571
349,219000,735153.8462
350,4451000,778166.6667
351,243000,444272.7273
352,243000,464400
353,405000,489000
354,261000,499500
355,24000,533571.4286
356,78000,618500
357,799000,726600
358,1071000,708500
359,1102000,587666.6667
360,432000,330500
361,229000,229000
,117076520.9,
,20331709.94,
